year,department,gdp_real
1988,beni,606095.7783706564
1989,beni,619948.9557229305
1990,beni,652467.29971177
1991,beni,645897.0600534967
1992,beni,631767.2159365203
1993,beni,654740.7554491485
1994,beni,672301.1954877626
1995,beni,693446.1579511076
1996,beni,717501.7058862185
1997,beni,764377.4063901952
1998,beni,791816.3781688112
1999,beni,848790.4406044323
2000,beni,871607.9194970257
2001,beni,888194.9781468853
2002,beni,887517.1203255861
2003,beni,886902.2581815142
2004,beni,902008.5544787776
2005,beni,912265.9076861384
2006,beni,1006744.9437361432
2007,beni,1015942.3403131434
2008,beni,1051315.7192224478
2009,beni,1090769.2777821536
2010,beni,1126347.5406276854
2011,beni,1148985.3796299282
2012,beni,1179002.261572665
2013,beni,1233166.4952510507
2014,beni,1272500.5052347207
2015,beni,1339743.8444154134
2016,beni,1411388.027476436
1988,chuquisaca,1011576.6039289798
1989,chuquisaca,1023185.7109061086
1990,chuquisaca,1053112.2965231095
1991,chuquisaca,1066239.5279411469
1992,chuquisaca,1048354.5302002577
1993,chuquisaca,1069891.5383682046
1994,chuquisaca,1047485.3426017873
1995,chuquisaca,1047094.5364859651
1996,chuquisaca,1037167.5055904569
1997,chuquisaca,1098433.3349882944
1998,chuquisaca,1145406.1647522277
1999,chuquisaca,1228985.6675993213
2000,chuquisaca,1203820.0132483405
2001,chuquisaca,1201857.9319009548
2002,chuquisaca,1213750.4204923878
2003,chuquisaca,1194412.3685452696
2004,chuquisaca,1244108.5742712822
2005,chuquisaca,1256242.6511032882
2006,chuquisaca,1329054.312733382
2007,chuquisaca,1352752.1228849478
2008,chuquisaca,1442740.3523974735
2009,chuquisaca,1479716.9279863983
2010,chuquisaca,1555347.2625446564
2011,chuquisaca,1619555.313453035
2012,chuquisaca,1755212.9165181026
2013,chuquisaca,1947760.8204967421
2014,chuquisaca,2097880.320808072
2015,chuquisaca,2263320.24544809
2016,chuquisaca,2281107.485146032
1988,cochabamba,2601746.7540521338
1989,cochabamba,2652732.330753002
1990,cochabamba,2723100.656565424
1991,cochabamba,2805673.5643391986
1992,cochabamba,2853475.8729399545
1993,cochabamba,2998356.0374578363
1994,cochabamba,3191511.130568664
1995,cochabamba,3410511.7293367186
1996,cochabamba,3580279.8600365743
1997,cochabamba,3749684.9236026555
1998,cochabamba,3921525.6566169923
1999,cochabamba,3988282.583490486
2000,cochabamba,4083828.518494222
2001,cochabamba,4090903.0557703394
2002,cochabamba,4110309.445309003
2003,cochabamba,4076686.082826139
2004,cochabamba,4304779.83538389
2005,cochabamba,4368231.2639627
2006,cochabamba,4554820.935635572
2007,cochabamba,4728633.730868006
2008,cochabamba,4894899.016317277
2009,cochabamba,5033604.850455954
2010,cochabamba,5259480.612471513
2011,cochabamba,5480010.672440581
2012,cochabamba,5688338.791031268
2013,cochabamba,5999745.086758093
2014,cochabamba,6297089.617102583
2015,cochabamba,6677950.714012563
2016,cochabamba,7047605.359528863
1988,la_paz,3927188.8024101146
1989,la_paz,4059675.282953218
1990,la_paz,4166288.3627378326
1991,la_paz,4454032.09390671
1992,la_paz,4616861.75053102
1993,la_paz,4796133.426404452
1994,la_paz,5003282.431876661
1995,la_paz,5273418.570589436
1996,la_paz,5415493.585192855
1997,la_paz,5404823.245132923
1998,la_paz,5168804.73860735
1999,la_paz,5315652.040080835
2000,la_paz,5312096.8024457665
2001,la_paz,5332172.09564322
2002,la_paz,5604209.997354027
2003,la_paz,5892776.958459755
2004,la_paz,6056316.305684557
2005,la_paz,6124302.243772095
2006,la_paz,6364791.97782726
2007,la_paz,6669426.199955068
2008,la_paz,7069768.406926695
2009,la_paz,7412587.612292677
2010,la_paz,7762015.441384543
2011,la_paz,8234767.79613219
2012,la_paz,8618357.868351597
2013,la_paz,9103059.178387163
2014,la_paz,9598106.847836904
2015,la_paz,10349994.93614865
2016,la_paz,10920586.105214216
1988,oruro,745330.4503733428
1989,oruro,803372.212825763
1990,oruro,845786.0514963218
1991,oruro,906305.9027950057
1992,oruro,917128.4927265949
1993,oruro,978016.5872199454
1994,oruro,1066423.0022969025
1995,oruro,1141119.408241708
1996,oruro,1169102.9330341024
1997,oruro,1315112.0163664143
1998,oruro,1424151.3786936402
1999,oruro,1397789.1525839546
2000,oruro,1387422.5452997256
2001,oruro,1409327.060671217
2002,oruro,1378406.546098078
2003,oruro,1312469.9948759007
2004,oruro,1248436.961826289
2005,oruro,1301489.999064458
2006,oruro,1368945.957185572
2007,oruro,1413961.7831792438
2008,oruro,1675976.455746151
2009,oruro,1772248.1960701502
2010,oruro,1818386.652173144
2011,oruro,1888674.6231192644
2012,oruro,1853141.5702794597
2013,oruro,1935394.6945515582
2014,oruro,1985227.5733880533
2015,oruro,1985350.6120337155
2016,oruro,2011750.1906920022
1988,pando,103478.34805009089
1989,pando,106829.20812802955
1990,pando,120490.85331737022
1991,pando,119275.23045021157
1992,pando,116868.48954524433
1993,pando,124480.26313289502
1994,pando,136525.42750363905
1995,pando,145128.22511663559
1996,pando,150430.0034524157
1997,pando,162308.62265267986
1998,pando,184704.16013469943
1999,pando,195244.15451717906
2000,pando,211068.83716255182
2001,pando,222502.84911222736
2002,pando,224053.8169532452
2003,pando,221800.6273717733
2004,pando,231123.12725859846
2005,pando,241046.85116263287
2006,pando,253953.53954457626
2007,pando,283619.2738668486
2008,pando,299460.3373834146
2009,pando,300977.2201242669
2010,pando,313154.36350234336
2011,pando,320570.8098288452
2012,pando,328672.5939964856
2013,pando,338583.91728302825
2014,pando,354963.31887604535
2015,pando,365091.67721721093
2016,pando,374034.25143051316
1988,potosi,842319.5537337064
1989,potosi,878317.5788018168
1990,potosi,929776.9791167491
1991,potosi,977972.9947027178
1992,potosi,1002679.5381078299
1993,potosi,1044104.3048974207
1994,potosi,989336.7383414205
1995,potosi,998627.9699668495
1996,potosi,1042645.8336156273
1997,potosi,1052988.417567589
1998,potosi,1047169.8141997033
1999,potosi,1111507.3383533768
2000,potosi,1165752.3376557904
2001,potosi,1137565.282482624
2002,potosi,1181570.7601081962
2003,potosi,1254413.5471371012
2004,potosi,1288185.7530357726
2005,potosi,1323892.0464645945
2006,potosi,1378917.2302455055
2007,potosi,1556414.6718775774
2008,potosi,1933902.6369673735
2009,potosi,2088955.2976189377
2010,potosi,2075861.370871611
2011,potosi,2167990.085784323
2012,potosi,2014824.6594922987
2013,potosi,2127112.929052374
2014,potosi,2220716.2719158074
2015,potosi,2307669.1694995775
2016,potosi,2480403.1594138383
1988,santa_cruz,3674818.670675251
1989,santa_cruz,3871730.477887293
1990,santa_cruz,4144896.216412475
1991,santa_cruz,4421262.639819812
1992,santa_cruz,4480599.2864960255
1993,santa_cruz,4696637.795384201
1994,santa_cruz,5032350.543477546
1995,santa_cruz,5276378.737825501
1996,santa_cruz,5654706.694356691
1997,santa_cruz,6040583.100674705
1998,santa_cruz,6828281.022265052
1999,santa_cruz,6537249.824712295
2000,santa_cruz,6885006.039901216
2001,santa_cruz,7124481.629195902
2002,santa_cruz,7163794.7254785495
2003,santa_cruz,7332557.526883517
2004,santa_cruz,7562318.014754712
2005,santa_cruz,7880419.007956168
2006,santa_cruz,8211314.986053079
2007,santa_cruz,8472250.949788831
2008,santa_cruz,8733963.916112479
2009,santa_cruz,8977105.827390675
2010,santa_cruz,9309918.922276588
2011,santa_cruz,9842909.987742253
2012,santa_cruz,10676838.178249668
2013,santa_cruz,11441115.01166843
2014,santa_cruz,12183975.84568837
2015,santa_cruz,12817860.160364632
2016,santa_cruz,13668739.97710161
1988,tarija,707431.8881792052
1989,tarija,743151.0493930295
1990,tarija,807218.0857060531
1991,tarija,859794.045134248
1992,tarija,856379.6583250765
1993,tarija,867217.9258796342
1994,tarija,894512.4938119155
1995,tarija,891671.2838983869
1996,tarija,933376.4054373059
1997,tarija,1088406.9990177767
1998,tarija,1204764.1217094366
1999,tarija,1185826.925643645
2000,tarija,1235662.2930112723
2001,tarija,1325695.0030954494
2002,tarija,1534123.238029537
2003,tarija,1757397.5379648379
2004,tarija,2090785.0688970585
2005,tarija,2622349.817499877
2006,tarija,2810368.7830511034
2007,tarija,3031026.05006254
2008,tarija,3175800.0551955234
2009,tarija,3138287.7438092497
2010,tarija,3365167.6263467325
2011,tarija,3578003.99817232
2012,tarija,3923071.1888881424
2013,tarija,4360631.729551488
2014,tarija,4577695.525445947
2015,tarija,4452617.189826209
2016,tarija,4178691.443996493
