date,gdp_real
1990-01-01,3587595.27686859
1990-04-01,3926068.3810851723
1990-07-01,3934132.610818973
1990-10-01,3995340.1921360358
1991-01-01,3677805.7926232456
1991-04-01,4217984.345350683
1991-07-01,4149574.8978322176
1991-10-01,4211087.615548874
1992-01-01,3795755.8631545873
1992-04-01,4299703.292655457
1992-07-01,4164101.649741608
1992-10-01,4264554.34539854
1993-01-01,3950724.439998012
1993-04-01,4553624.868201435
1993-07-01,4301545.49733011
1993-10-01,4423683.622418928
1994-01-01,4182022.6416335525
1994-04-01,4630765.121904748
1994-07-01,4648649.900272505
1994-10-01,4572291.066146873
1995-01-01,4401909.428890978
1995-04-01,4847210.835432515
1995-07-01,4788394.866206768
1995-10-01,4839881.365648838
1996-01-01,4561893.479124419
1996-04-01,5122813.50871233
1996-07-01,4989894.097419402
1996-10-01,5026102.913953263
1997-01-01,4781223.117229661
1997-04-01,5414864.76054685
1997-07-01,5185939.582672117
1997-10-01,5294690.545252205
1998-01-01,5104073.040198665
1998-04-01,5682209.438882692
1998-07-01,5428849.038279674
1998-10-01,5501491.963973532
1999-01-01,5141964.63662526
1999-04-01,5631525.805246508
1999-07-01,5385855.49020798
1999-10-01,5649982.636360203
2000-01-01,5249518.207035014
2000-04-01,5904001.0428960705
2000-07-01,5440791.334412114
2000-10-01,5761954.722372713
2001-01-01,5249128.935584939
2001-04-01,5957302.916675255
2001-07-01,5581773.5055819545
2001-10-01,5944494.5281766765
2002-01-01,5321686.479919208
2002-04-01,6187346.005702031
2002-07-01,5790530.999264143
2002-10-01,5998172.618389696
2003-01-01,5498240.402131629
2003-04-01,6387989.870884403
2003-07-01,5842775.227448654
2003-10-01,6200411.401767221
2004-01-01,5739403.704993495
2004-04-01,6620937.963951788
2004-07-01,6202285.381298503
2004-10-01,6365435.145347154
2005-01-01,5994797.633402449
2005-04-01,6884146.123207559
2005-07-01,6438360.225673564
2005-10-01,6712935.806388384
2006-01-01,6259400.371561824
2006-04-01,7150288.911261086
2006-07-01,6807897.034202685
2006-10-01,7061326.348986607
2007-01-01,6417302.422538298
2007-04-01,7442694.172870375
2007-07-01,7171627.842863731
2007-10-01,7492402.684523801
2008-01-01,6837877.848968659
2008-04-01,7955173.495507327
2008-07-01,7678219.3054551985
2008-10-01,7806555.65588193
2009-01-01,7039509.994262538
2009-04-01,8130166.632390115
2009-07-01,7956761.815701224
2009-10-01,8167814.31995098
2010-01-01,7266227.378508618
2010-04-01,8437640.373832937
2010-07-01,8251994.656559047
2010-10-01,8629817.400802188
2011-01-01,7715274.626926227
2011-04-01,8796980.5977902
2011-07-01,8683047.323497616
2011-10-01,9086166.118023694
2012-01-01,8101796.698984657
2012-04-01,9183013.211614158
2012-07-01,9081844.970938621
2012-10-01,9670805.146851642
2013-01-01,8656908.834523756
2013-04-01,9833485.110161811
2013-07-01,9744162.220477689
2013-10-01,10252013.69781293
2014-01-01,9168558.361371653
2014-04-01,10305084.7487736
2014-07-01,10331313.47799319
2014-10-01,10783199.238133844
2015-01-01,9609050.509624839
2015-04-01,10846338.451259488
2015-07-01,10737402.167778824
2015-10-01,11366807.420303905
2016-01-01,10123441.382992486
2016-04-01,11197082.478031533
2016-07-01,11268032.971704444
2016-10-01,11785749.30713059
2017-01-01,10461781.11592009
2017-04-01,11621187.128341846
2017-07-01,11750299.038243089
2017-10-01,12402632.54458848
2018-01-01,10977358.872868054
2018-04-01,12184629.945381388
2018-07-01,12218209.814760195
2018-10-01,12808531.529790653
2019-01-01,11316217.8200927
2019-04-01,12506583.260148052
2019-07-01,12490126.03378507
2019-10-01,12944005.414398942
2020-01-01,11339232.805032058
2020-04-01,9412415.95618679
2020-07-01,11132972.774578147
2020-10-01,13068297.152564915
2021-01-01,11269752.595594365
2021-04-01,11589012.075670255
2021-07-01,11706586.393346418
2021-10-01,13134808.047725933
2022-01-01,11806250.071091594
2022-04-01,12119359.956731312
2022-07-01,12185452.11285391
2022-10-01,13309012.251335572
2023-01-01,12088311.791816337
2023-04-01,12364865.8822495
2023-07-01,12501266.232978845
2023-10-01,13988739.999741856
2024-01-01,12247067.889000148
2024-04-01,12814574.3868698
2024-07-01,12628307.707590504
2024-10-01,13624713.443123909
