year,gdp_real_lcu,gdp_growth_pct,reserves_usd,imports_usd,petroleum_rents_pct_gdp,fuel_exports_pct
2000,153451176627.565,2.50781080899505,1184108227.67536,2294548577.49814,3.20071915897547,12.1942402416879
2001,156034986200.326,1.68379912721821,1146023735.30062,2056194909.06273,2.70191454521148,22.4397697760694
2002,159913338356.362,2.48556573783827,892729137.789947,2191068870.29289,3.20143436722118,24.9742676784933
2003,164249132403.906,2.7113398370071,1096941369.79827,2131094556.36625,3.57840976144804,30.1389419296459
2004,171103734201.755,4.17329558916195,1271422924.6815,2309687991.43145,5.08868092656529,37.5739969111581
2005,178668971387.08,4.42143312687995,1794984952.80819,3064676257.13762,7.33080300030145,47.8301459653094
2006,187239737709.483,4.79700882356046,3193982720.12097,3752326864.85138,6.90511113358437,48.8382325972114
2007,195786078842.585,4.56438426887904,5313631986.14594,4495769626.34589,4.87482833139779,47.5095338694939
2008,207823981739.027,6.14849787462195,7719766413.09899,6329632797.44018,5.13358898631882,51.1866049934702
2009,214800631921.311,3.35699957430558,8574579206.49636,5705628903.1339,1.99901854108232,39.5433516744626
2010,223664858124.54,4.12672259105658,9730683978.92494,6744604596.45584,2.81120414194023,43.2688115125649
2011,235304584104.038,5.20409244308591,11994673114.8231,9199145865.29377,3.57882129837961,45.3581817460597
2012,247357533356.379,5.12227558091767,13924289443.0799,10233217742.4023,3.58582706729094,50.0146584363154
2013,264167979591.566,6.79601142810857,14429068711.377,11386396497.8292,3.31838837807072,54.5398474110676
2014,278593055730.687,5.46056950635116,15129277524.0077,13848955976.8452,3.03332355757079,51.740358250386
2015,292124841917.212,4.8571871797142,13049620686.0687,12231374703.3285,1.14024731448316,46.1471961581206
2016,304580814000.124,4.26392086382097,10053627485.0797,10831641432.7062,0.788114698375915,31.1663267980126
2017,317358607600.0,4.19520633360403,10245969449.673,11958240289.4356,1.02986757658124,33.2474626156162
2018,326460719200.0,2.86808404814794,8929614182.53613,12864160303.9074,1.4498952900262,34.8526923233055
2019,331379571500.0,1.50672102666863,6455449941.67879,12643630390.7381,1.0303191682966,32.0714901886577
2020,289229849600.0,-12.7194690092717,5247234668.79634,8735545774.24023,0.497346305966912,29.4701072049889
2021,318236852600.0,10.0290488827886,4730168839.86019,11545547250.3618,1.26335187425347,21.4767656503189
2022,330162517100.0,3.74741781241461,3752070996.50723,15150615137.4819,,22.7288338190063
2023,338470614100.0,2.51636590154891,1799951502.87318,14239423386.3965,,19.7390284484517
2024,334668384300.0,-1.12335595517212,1977025889.30984,14018232749.6382,,18.9433899156143
